date,close,Mkt-RF,SMB,HML,RMW,CMA
2019-03-13,21.14,0.68,-0.32,0.01,-0.17,0.16
2019-03-14,20.82,-0.1,-0.37,0.23,-0.15,-0.12
2019-03-15,21.0,0.48,-0.26,-0.28,-0.04,-0.21
2019-03-18,21.69,0.46,0.22,0.34,-0.07,-0.08
2019-03-19,21.48,-0.09,-0.46,-0.89,0.04,-0.08
2019-03-20,21.26,-0.39,-0.22,-0.99,-0.16,-0.26
2019-03-21,20.54,1.11,0.16,-1.12,0.36,-0.33
2019-03-22,19.23,-2.17,-1.58,0.07,0.55,0.58
2019-03-25,20.53,-0.05,0.6,-0.29,0.2,0.04
2019-03-26,20.24,0.76,0.23,0.43,0.02,0.19
2019-03-27,18.24,-0.5,0.16,0.51,0.76,0.1
2019-03-28,18.84,0.4,0.37,-0.1,-0.12,-0.08
2019-03-29,18.43,0.66,-0.28,-0.84,0.25,-0.17
2019-04-01,18.61,1.19,-0.2,0.96,-0.08,-0.29
2019-04-02,18.26,-0.05,-0.18,-0.41,-0.39,-0.49
2019-04-03,18.16,0.27,0.22,-0.37,0.14,-0.4
2019-04-04,18.27,0.19,0.35,0.95,0.61,0.27
2019-04-05,18.4,0.52,0.49,-0.02,-0.28,0.11
2019-04-08,17.56,0.08,-0.31,0.12,0.29,-0.03
2019-04-09,17.7,-0.65,-0.61,-0.08,0.15,-0.03
2019-04-10,18.02,0.48,0.92,-0.06,0.08,-0.13
2019-04-11,16.85,0.0,-0.28,0.43,0.03,0.13
2019-04-12,17.04,0.65,-0.36,0.69,0.51,-0.23
2019-04-15,15.78,-0.09,-0.25,-0.59,0.36,0.08
2019-04-16,15.79,0.13,0.24,0.63,-0.12,-0.14
2019-04-17,15.92,-0.32,-0.53,0.78,1.1,-0.26
2019-04-18,15.75,0.11,-0.27,-0.47,0.17,-0.19
2019-04-22,16.86,0.11,-0.47,-0.56,-0.53,-0.18
2019-04-23,16.28,0.97,0.65,-0.58,-0.06,-0.43
2019-04-24,16.59,-0.23,0.33,-0.22,0.64,0.06
2019-04-25,16.52,-0.14,-0.78,-0.26,-0.61,-0.31
2019-04-26,17.16,0.53,0.49,0.05,-0.05,-0.18
