date,close,Mkt-RF,SMB,HML,RMW,CMA
2016-10-11,23.0,-1.3,-0.56,0.49,0.34,0.09
2016-10-12,21.54,0.06,-0.2,0.37,0.73,0.15
2016-10-13,21.96,-0.42,-0.74,-0.63,0.29,-0.13
2016-10-14,20.81,0.01,-0.33,0.57,0.11,0.09
2016-10-17,20.69,-0.29,-0.03,0.14,0.09,0.14
2016-10-18,20.62,0.6,-0.16,0.03,-0.32,-0.29
2016-10-19,20.71,0.25,0.12,0.91,-0.13,0.46
2016-10-20,20.88,-0.16,-0.05,-0.11,-0.48,-0.04
2016-10-21,20.83,0.02,-0.18,-0.31,0.19,-0.17
2016-10-24,20.65,0.54,0.07,-0.17,0.6,-0.49
2016-10-25,21.05,-0.46,-0.6,0.23,0.05,0.0
2016-10-26,20.65,-0.23,-0.74,0.74,0.09,0.55
2016-10-27,20.35,-0.33,-0.95,0.6,-0.09,-0.03
2016-10-28,20.6,-0.29,-0.11,0.11,-0.05,0.33
2016-10-31,19.8,0.02,0.08,0.13,0.6,-0.31
2016-11-01,20.2,-0.68,-0.36,0.18,-0.54,-0.07
2016-11-02,19.75,-0.73,-0.58,0.36,0.95,0.15
2016-11-03,18.1,-0.4,-0.38,1.02,0.12,0.79
2016-11-04,17.85,-0.12,0.84,-0.43,-0.09,-0.06
2016-11-07,18.7,2.23,0.18,-0.16,-0.27,-0.17
2016-11-08,18.95,0.4,-0.11,-0.2,-0.05,0.3
2016-11-09,20.25,1.46,2.07,1.0,-0.72,0.74
2016-11-10,20.5,0.32,1.45,1.81,-0.14,0.39
2016-11-11,21.6,0.18,2.51,-0.04,0.16,-0.33
2016-11-14,23.9,0.21,0.87,1.43,-0.12,0.35
2016-11-15,24.0,0.8,-0.56,0.14,-0.64,0.17
2016-11-16,23.63,-0.12,0.23,-0.55,0.83,-0.17
2016-11-17,24.7,0.56,0.16,-0.13,0.26,-0.46
2016-11-18,22.25,-0.16,0.57,0.39,-0.21,0.09
2016-11-21,22.25,0.77,-0.27,0.08,-0.14,0.3
2016-11-22,21.3,0.31,0.62,0.58,0.82,0.31
2016-11-23,22.25,0.16,0.57,0.19,-0.3,0.18
2016-11-25,22.7,0.4,-0.07,-0.24,0.23,-0.15
2016-11-28,21.65,-0.64,-0.77,0.06,0.65,-0.35
2016-11-29,22.25,0.11,-0.39,-0.06,0.54,-0.5
2016-11-30,21.55,-0.25,-0.19,2.25,-1.63,1.96
2016-12-01,21.15,-0.36,-0.4,2.05,0.28,0.62
2016-12-02,21.8,0.0,-0.01,-0.32,-0.09,0.07
2016-12-05,22.2,0.75,1.12,0.29,-0.25,-0.17
2016-12-06,22.95,0.48,0.65,0.23,-0.14,-0.1
2016-12-07,22.45,1.26,-0.5,0.53,0.88,-0.01
2016-12-08,22.3,0.36,1.24,0.59,-0.26,-0.1
2016-12-09,23.0,0.46,-0.36,0.12,-0.06,-0.06
2016-12-12,23.2,-0.3,-0.96,-0.1,-0.01,0.05
2016-12-13,23.15,0.6,-0.57,-0.29,0.01,-0.17
2016-12-14,22.8,-0.82,-0.37,-0.28,0.53,-0.51
2016-12-15,23.65,0.46,0.44,0.28,0.03,0.05
2016-12-16,23.75,-0.22,-0.03,-0.42,-0.27,0.01
2016-12-19,25.65,0.22,0.34,0.08,0.29,0.02
2016-12-20,26.1,0.44,0.5,0.68,0.12,0.09
2016-12-21,25.45,-0.24,-0.35,0.24,0.12,0.06
2016-12-22,24.9,-0.3,-0.77,0.24,-0.25,0.06
2016-12-23,25.6,0.19,0.52,-0.51,-0.36,-0.14
2016-12-27,25.7,0.27,0.23,0.13,0.16,0.03
2016-12-28,25.05,-0.87,-0.3,0.09,0.14,-0.17
2016-12-29,25.35,-0.04,0.09,-0.31,0.25,0.04
2016-12-30,25.25,-0.52,-0.05,0.21,-0.14,0.06
2017-01-03,25.95,0.83,-0.09,0.08,-0.25,0.27
2017-01-04,27.3,0.79,0.97,-0.15,-0.4,-0.03
